underlying	surface	root_indices	suffix_indices	word_indices	lip_output	tb_output
ig-L	ig-e	"L_Lg,g_Lg"	e_e	"L_Lg,g_Lg,e_e"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,-2,-2,3,8,10"
ag-L	ag-a	"L_Lg,g_Lg"	a_a	"L_Lg,g_Lg,a_a"	"11,11,11,11,11,11,11,11,11,11"	"10,13,16,16,16,-2,-2,7,16,10"
eg-L	eg-e	"L_Lg,g_Lg"	e_e	"L_Lg,g_Lg,e_e"	"11,11,11,11,11,11,11,11,11,11"	"10,9,8,8,8,-2,-2,3,8,10"
og-L	og-a	"L_Lg,g_Lg"	a_a	"L_Lg,g_Lg,a_a"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,-2,-2,7,16,10"
ug-L	ug-a	"L_Lg,g_Lg"	a_a	"L_Lg,g_Lg,a_a"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,-2,-2,7,16,10"
yg-L	yg-e	"L_Lg,g_Lg"	e_e	"L_Lg,g_Lg,e_e"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,-2,-2,3,8,10"
øg-L	øg-e	"L_Lg,g_Lg"	e_e	"L_Lg,g_Lg,e_e"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,-2,-2,3,8,10"
ɯg-L	ɯg-a	"L_Lg,g_Lg"	a_a	"L_Lg,g_Lg,a_a"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,-2,-2,7,16,10"
d-i	d-i	d_d	i_i	"d_d,i_i"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
d-a	d-a	d_d	a_a	"d_d,a_a"	"11,11,11,11,11,11,11,11,11,11"	"10,13,16,16,16,10,10,10,10,10"
d-e	d-e	d_d	e_e	"d_d,e_e"	"11,11,11,11,11,11,11,11,11,11"	"10,9,8,8,8,10,10,10,10,10"
d-o	d-o	d_d	o_o	"d_d,o_o"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,10,10,10,10,10"
d-u	d-u	d_d	u_u	"d_d,u_u"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
d-y	d-y	d_d	y_y	"d_d,y_y"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
d-ø	d-ø	d_d	ø_ø	"d_d,ø_ø"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,10,10,10,10,10"
d-ɯ	d-ɯ	d_d	ɯ_ɯ	"d_d,ɯ_ɯ"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
id-H	id-i	"H_Hd,d_Hd"	i_i	"H_Hd,d_Hd,i_i"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,4,4,4,4,10"
ad-H	ad-u	"H_Hd,d_Hd"	ɯ_ɯ	"H_Hd,d_Hd,ɯ_ɯ"	"11,11,11,11,11,11,11,11,11,11"	"10,13,16,16,16,10,4,4,4,10"
ed-H	ed-i	"H_Hd,d_Hd"	i_i	"H_Hd,d_Hd,i_i"	"11,11,11,11,11,11,11,11,11,11"	"10,9,8,8,8,6,4,4,4,10"
od-H	od-u	"H_Hd,d_Hd"	u_u	"H_Hd,d_Hd,u_u"	"11,5,5,5,5,5,5,5,5,11"	"10,9,8,8,8,6,4,4,4,10"
ud-H	ud-u	"H_Hd,d_Hd"	u_u	"H_Hd,d_Hd,u_u"	"11,5,5,5,5,5,5,5,5,11"	"10,7,4,4,4,4,4,4,4,10"
yd-H	yd-y	"H_Hd,d_Hd"	y_y	"H_Hd,d_Hd,y_y"	"11,5,5,5,5,5,5,5,5,11"	"10,7,4,4,4,4,4,4,4,10"
ød-H	ød-ø	"H_Hd,d_Hd"	y_y	"H_Hd,d_Hd,y_y"	"11,5,5,5,5,5,5,5,5,11"	"10,9,8,8,8,6,4,4,4,10"
ɯd-H	ɯd-ɯ	"H_Hd,d_Hd"	ɯ_ɯ	"H_Hd,d_Hd,ɯ_ɯ"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,4,4,4,4,10"
id-L	id-e	"L_Ld,d_Ld"	e_e	"L_Ld,d_Ld,e_e"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,6,8,8,8,10"
ad-L	ad-a	"L_Ld,d_Ld"	a_a	"L_Ld,d_Ld,a_a"	"11,11,11,11,11,11,11,11,11,11"	"10,13,16,16,16,16,16,16,16,10"
ed-L	ed-e	"L_Ld,d_Ld"	e_e	"L_Ld,d_Ld,e_e"	"11,11,11,11,11,11,11,11,11,11"	"10,9,8,8,8,8,8,8,8,10"
od-L	od-a	"L_Ld,d_Ld"	a_a	"L_Ld,d_Ld,a_a"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,12,16,16,16,10"
ud-L	ud-a	"L_Ld,d_Ld"	a_a	"L_Ld,d_Ld,a_a"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,10,16,16,16,10"
yd-L	yd-e	"L_Ld,d_Ld"	e_e	"L_Ld,d_Ld,e_e"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,6,8,8,8,10"
ød-L	ød-e	"L_Ld,d_Ld"	e_e	"L_Ld,d_Ld,e_e"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,8,8,8,8,10"
ɯd-L	ɯd-a	"L_Ld,d_Ld"	a_a	"L_Ld,d_Ld,a_a"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,10,16,16,16,10"
