,V1,V2,consonant,underlying,fronted,rounded,high,group,model,Time,Attention,Loss
214,ø,H,g,øg-H,1,1,1,rounding,5,0,0.8446568846702576,0.012714207172393799
215,ɯ,H,g,ɯg-H,0,0,1,rounding,5,0,0.819068193435669,0.00931483507156372
216,i,L,g,ig-L,1,0,1,rounding,5,0,0.9477552771568298,0.026026368141174316
217,a,L,g,ag-L,0,0,0,rounding,5,0,1.0465434789657593,0.08244526386260986
218,e,L,g,eg-L,1,0,0,rounding,5,0,1.0325008630752563,0.0095234215259552
219,o,L,g,og-L,0,1,1,rounding,5,0,0.778450608253479,0.037560462951660156
220,u,L,g,ug-L,0,1,1,rounding,5,0,0.7838823795318604,0.0093478262424469
221,y,L,g,yg-L,1,1,1,rounding,5,0,0.8140637874603271,0.012722164392471313
222,ø,L,g,øg-L,1,1,1,rounding,5,0,0.8435678482055664,0.022930502891540527
223,ɯ,L,g,ɯg-L,0,0,1,rounding,5,0,0.8320909738540649,0.02011057734489441
224,i,H,d,id-H,1,0,1,rounding,5,0,0.8310844302177429,0.002177298069000244
225,a,H,d,ad-H,0,0,0,rounding,5,0,1.0176023244857788,0.024136781692504883
226,e,H,d,ed-H,1,0,0,rounding,5,0,0.9335007071495056,0.002471357583999634
227,o,H,d,od-H,0,1,1,rounding,5,0,0.6894090175628662,0.0005620121955871582
228,u,H,d,ud-H,0,1,1,rounding,5,0,0.6609160900115967,0.027957558631896973
229,y,H,d,yd-H,1,1,1,rounding,5,0,0.7379642128944397,0.024353206157684326
230,ø,H,d,ød-H,1,1,1,rounding,5,0,0.7393690943717957,0.006208956241607666
231,ɯ,H,d,ɯd-H,0,0,1,rounding,5,0,0.8767908811569214,0.0496135950088501
232,i,L,d,id-L,1,0,1,rounding,5,0,0.8459423184394836,0.008692741394042969
233,a,L,d,ad-L,0,0,0,rounding,5,0,1.0199739933013916,0.026198536157608032
234,e,L,d,ed-L,1,0,0,rounding,5,0,0.9423171281814575,0.009004682302474976
235,o,L,d,od-L,0,1,1,rounding,5,0,0.6850627660751343,0.0028636157512664795
236,u,L,d,ud-L,0,1,1,rounding,5,0,0.6571766138076782,0.025800377130508423
237,y,L,d,yd-L,1,1,1,rounding,5,0,0.7349006533622742,0.022061944007873535
238,ø,L,d,ød-L,1,1,1,rounding,5,0,0.7365931868553162,0.0025093257427215576
239,ɯ,L,d,ɯd-L,0,0,1,rounding,5,0,0.885079562664032,0.045571208000183105
240,i,H,b,ib-H,1,0,1,rounding,6,0,1.2141966819763184,0.004856616258621216
241,a,H,b,ab-H,0,0,0,rounding,6,0,1.26569664478302,0.01066809892654419
242,e,H,b,eb-H,1,0,0,rounding,6,0,1.2879875898361206,0.019930720329284668
243,o,H,b,ob-H,0,1,1,rounding,6,0,0.8976760506629944,0.03406888246536255
244,u,H,b,ub-H,0,1,1,rounding,6,0,0.9255551695823669,0.040209561586380005
245,y,H,b,yb-H,1,1,1,rounding,6,0,0.8322259187698364,0.028739899396896362
246,ø,H,b,øb-H,1,1,1,rounding,6,0,0.8229870796203613,0.03242078423500061
247,ɯ,H,b,ɯb-H,0,0,1,rounding,6,0,1.2237539291381836,0.011417210102081299
248,i,L,b,ib-L,1,0,1,rounding,6,0,1.2143901586532593,0.0049475133419036865
249,a,L,b,ab-L,0,0,0,rounding,6,0,1.2657263278961182,0.010514646768569946
250,e,L,b,eb-L,1,0,0,rounding,6,0,1.2880359888076782,0.01997247338294983
251,o,L,b,ob-L,0,1,1,rounding,6,0,0.8977282047271729,0.023665696382522583
252,u,L,b,ub-L,0,1,1,rounding,6,0,0.9255326986312866,0.02925536036491394
253,y,L,b,yb-L,1,1,1,rounding,6,0,0.832740843296051,0.016564756631851196
254,ø,L,b,øb-L,1,1,1,rounding,6,0,0.8239229917526245,0.020173728466033936
255,ɯ,L,b,ɯb-L,0,0,1,rounding,6,0,1.223781704902649,0.012528866529464722
256,i,H,g,ig-H,1,0,1,rounding,6,0,1.0684025287628174,0.0026422441005706787
257,a,H,g,ag-H,0,0,0,rounding,6,0,1.4756851196289062,0.03843265771865845
258,e,H,g,eg-H,1,0,0,rounding,6,0,1.2035667896270752,0.01710018515586853
259,o,H,g,og-H,0,1,1,rounding,6,0,0.7688189148902893,0.03642702102661133
260,u,H,g,ug-H,0,1,1,rounding,6,0,0.8628965020179749,0.03171578049659729
261,y,H,g,yg-H,1,1,1,rounding,6,0,0.6892239451408386,0.018133997917175293
262,ø,H,g,øg-H,1,1,1,rounding,6,0,0.8388819098472595,0.03398880362510681
263,ɯ,H,g,ɯg-H,0,0,1,rounding,6,0,1.1166558265686035,0.005409985780715942
264,i,L,g,ig-L,1,0,1,rounding,6,0,1.0696911811828613,0.01232263445854187
265,a,L,g,ag-L,0,0,0,rounding,6,0,1.4758148193359375,0.04444390535354614
266,e,L,g,eg-L,1,0,0,rounding,6,0,1.204028844833374,0.024695366621017456
267,o,L,g,og-L,0,1,1,rounding,6,0,0.7711875438690186,0.05520889163017273
268,u,L,g,ug-L,0,1,1,rounding,6,0,0.8645893931388855,0.05029749870300293
269,y,L,g,yg-L,1,1,1,rounding,6,0,0.6917101740837097,0.03892090916633606
270,ø,L,g,øg-L,1,1,1,rounding,6,0,0.8415366411209106,0.04978644847869873
271,ɯ,L,g,ɯg-L,0,0,1,rounding,6,0,1.1171520948410034,0.01060187816619873
272,i,H,d,id-H,1,0,1,rounding,6,0,0.9235638976097107,0.026897966861724854
273,a,H,d,ad-H,0,0,0,rounding,6,0,1.2520866394042969,0.023272424936294556
274,e,H,d,ed-H,1,0,0,rounding,6,0,1.079187035560608,0.008941709995269775
275,o,H,d,od-H,0,1,1,rounding,6,0,0.9016254544258118,0.0070705413818359375
276,u,H,d,ud-H,0,1,1,rounding,6,0,0.8473721146583557,0.01991128921508789
277,y,H,d,yd-H,1,1,1,rounding,6,0,0.6259778141975403,0.025656968355178833
278,ø,H,d,ød-H,1,1,1,rounding,6,0,0.6359822750091553,0.0336778461933136
279,ɯ,H,d,ɯd-H,0,0,1,rounding,6,0,1.090667963027954,0.032072633504867554
280,i,L,d,id-L,1,0,1,rounding,6,0,0.9261547327041626,0.014713585376739502
281,a,L,d,ad-L,0,0,0,rounding,6,0,1.2523243427276611,0.030778974294662476
282,e,L,d,ed-L,1,0,0,rounding,6,0,1.081251621246338,0.006573498249053955
283,o,L,d,od-L,0,1,1,rounding,6,0,0.9024863839149475,0.0237981379032135
284,u,L,d,ud-L,0,1,1,rounding,6,0,0.8478111028671265,0.01622489094734192
285,y,L,d,yd-L,1,1,1,rounding,6,0,0.6280492544174194,0.02232128381729126
286,ø,L,d,ød-L,1,1,1,rounding,6,0,0.6378116607666016,0.014862984418869019
287,ɯ,L,d,ɯd-L,0,0,1,rounding,6,0,1.0914407968521118,0.02171492576599121
288,i,H,b,ib-H,1,0,1,rounding,7,0,0.8745173215866089,0.0376298725605011
289,a,H,b,ab-H,0,0,0,rounding,7,0,0.8648136258125305,0.019329220056533813
290,e,H,b,eb-H,1,0,0,rounding,7,0,0.8842437267303467,0.013576805591583252
291,o,H,b,ob-H,0,1,1,rounding,7,0,0.4628666043281555,0.008652061223983765
292,u,H,b,ub-H,0,1,1,rounding,7,0,0.5385950803756714,0.03240756690502167
293,y,H,b,yb-H,1,1,1,rounding,7,0,0.6034208536148071,0.03498184680938721
294,ø,H,b,øb-H,1,1,1,rounding,7,0,0.6081506013870239,0.013349026441574097
295,ɯ,H,b,ɯb-H,0,0,1,rounding,7,0,0.8209883570671082,0.03277522325515747
296,i,L,b,ib-L,1,0,1,rounding,7,0,0.9063237905502319,0.03619198501110077
297,a,L,b,ab-L,0,0,0,rounding,7,0,0.9384918212890625,0.0021075010299682617
298,e,L,b,eb-L,1,0,0,rounding,7,0,0.9251356720924377,0.012799233198165894
299,o,L,b,ob-L,0,1,1,rounding,7,0,0.49726489186286926,0.012211799621582031
300,u,L,b,ub-L,0,1,1,rounding,7,0,0.5660103559494019,0.028582602739334106
301,y,L,b,yb-L,1,1,1,rounding,7,0,0.6559709906578064,0.022342592477798462
302,ø,L,b,øb-L,1,1,1,rounding,7,0,0.6523282527923584,0.012685120105743408
303,ɯ,L,b,ɯb-L,0,0,1,rounding,7,0,0.8500730395317078,0.02748626470565796
304,i,H,g,ig-H,1,0,1,rounding,7,0,0.7282077074050903,0.009540736675262451
