underlying	surface	root_indices	suffix_indices	word_indices	lip_output	tb_output
eg-L	eg-e	"e_eg,g_eg"	L_L	"e_eg,g_eg,L_L"	"11,11,11,11,11,11,11,11,11,11"	"10,9,8,8,8,-2,-2,3,8,10"
og-L	og-a	"o_og,g_og"	L_L	"o_og,g_og,L_L"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,-2,-2,7,16,10"
ug-L	ug-a	"u_ug,g_ug"	L_L	"u_ug,g_ug,L_L"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,-2,-2,7,16,10"
yg-L	yg-e	"y_yg,g_yg"	L_L	"y_yg,g_yg,L_L"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,-2,-2,3,8,10"
øg-L	øg-e	"ø_øg,g_øg"	L_L	"ø_øg,g_øg,L_L"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,-2,-2,3,8,10"
ɯg-L	ɯg-a	"ɯ_ɯg,g_ɯg"	L_L	"ɯ_ɯg,g_ɯg,L_L"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,-2,-2,7,16,10"
d-i	d-i	d_d	i_i	"d_d,i_i"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
d-a	d-a	d_d	a_a	"d_d,a_a"	"11,11,11,11,11,11,11,11,11,11"	"10,13,16,16,16,10,10,10,10,10"
d-e	d-e	d_d	e_e	"d_d,e_e"	"11,11,11,11,11,11,11,11,11,11"	"10,9,8,8,8,10,10,10,10,10"
d-o	d-o	d_d	o_o	"d_d,o_o"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,10,10,10,10,10"
d-u	d-u	d_d	u_u	"d_d,u_u"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
d-y	d-y	d_d	y_y	"d_d,y_y"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
d-ø	d-ø	d_d	ø_ø	"d_d,ø_ø"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,10,10,10,10,10"
d-ɯ	d-ɯ	d_d	ɯ_ɯ	"d_d,ɯ_ɯ"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,10,10,10,10,10"
id-H	id-i	"i_id,d_id"	H_H	"i_id,d_id,H_H"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,4,4,4,4,10"
ad-H	ad-u	"a_ad,d_ad"	H_H	"a_ad,d_ad,H_H"	"11,11,11,11,11,11,11,11,11,11"	"10,13,16,16,16,10,4,4,4,10"
ed-H	ed-i	"e_ed,d_ed"	H_H	"e_ed,d_ed,H_H"	"11,11,11,11,11,11,11,11,11,11"	"10,9,8,8,8,6,4,4,4,10"
od-H	od-u	"o_od,d_od"	H_H	"o_od,d_od,H_H"	"11,5,5,5,5,5,5,5,5,11"	"10,9,8,8,8,6,4,4,4,10"
ud-H	ud-u	"u_ud,d_ud"	H_H	"u_ud,d_ud,H_H"	"11,5,5,5,5,5,5,5,5,11"	"10,7,4,4,4,4,4,4,4,10"
yd-H	yd-y	"y_yd,d_yd"	H_H	"y_yd,d_yd,H_H"	"11,5,5,5,5,5,5,5,5,11"	"10,7,4,4,4,4,4,4,4,10"
ød-H	ød-ø	"ø_ød,d_ød"	H_H	"ø_ød,d_ød,H_H"	"11,5,5,5,5,5,5,5,5,11"	"10,9,8,8,8,6,4,4,4,10"
ɯd-H	ɯd-ɯ	"ɯ_ɯd,d_ɯd"	H_H	"ɯ_ɯd,d_ɯd,H_H"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,4,4,4,4,10"
id-L	id-e	"i_id,d_id"	L_L	"i_id,d_id,L_L"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,6,8,8,8,10"
ad-L	ad-a	"a_ad,d_ad"	L_L	"a_ad,d_ad,L_L"	"11,11,11,11,11,11,11,11,11,11"	"10,13,16,16,16,16,16,16,16,10"
ed-L	ed-e	"e_ed,d_ed"	L_L	"e_ed,d_ed,L_L"	"11,11,11,11,11,11,11,11,11,11"	"10,9,8,8,8,8,8,8,8,10"
od-L	od-a	"o_od,d_od"	L_L	"o_od,d_od,L_L"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,12,16,16,16,10"
ud-L	ud-a	"u_ud,d_ud"	L_L	"u_ud,d_ud,L_L"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,10,16,16,16,10"
yd-L	yd-e	"y_yd,d_yd"	L_L	"y_yd,d_yd,L_L"	"11,5,5,5,5,11,11,11,11,11"	"10,7,4,4,4,6,8,8,8,10"
ød-L	ød-e	"ø_ød,d_ød"	L_L	"ø_ød,d_ød,L_L"	"11,5,5,5,5,11,11,11,11,11"	"10,9,8,8,8,8,8,8,8,10"
ɯd-L	ɯd-a	"ɯ_ɯd,d_ɯd"	L_L	"ɯ_ɯd,d_ɯd,L_L"	"11,11,11,11,11,11,11,11,11,11"	"10,7,4,4,4,10,16,16,16,10"
